"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 06 12:47:51 CST 2020","Mon Apr 06 12:47:53 CST 2020","2011","case","test_Reg","TestRegister","","","test[9.0-length of userName exceeds-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":""spenwrwrwerwrerwweecer"",""password"":""123456""}-{""status"":""fail"",""errorCode"":4,""msg"":""Length of userName exceeds""}]",""
"passed","Mon Apr 06 12:47:38 CST 2020","Mon Apr 06 12:47:40 CST 2020","2012","case","test_Reg","TestRegister","","","test[3.0-userName=""""-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":"""",""password"":""123456""}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:44 CST 2020","Mon Apr 06 12:47:47 CST 2020","2020","case","test_Reg","TestRegister","","","test[6.0-password=NULL-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":null}-{""status"":""fail"",""errorCode"":3,""msg"":""Password missing""}]",""
"passed","Mon Apr 06 12:47:20 CST 2020","Mon Apr 06 12:47:22 CST 2020","2035","case","test_Login","Test_Login","","","test_login[4.0-user is disabled-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":""Alex zhao"",""password"":""123456""}-{""status"":""fail"",""errorCode"":4,""msg"":""User is disabled""}]",""
"passed","Mon Apr 06 12:47:32 CST 2020","Mon Apr 06 12:47:34 CST 2020","2012","case","test_Login","Test_Login","","","test_login[10.0-userName=NULL & password=NULL-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":null,""password"":null}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:18 CST 2020","Mon Apr 06 12:47:20 CST 2020","2027","case","test_Login","Test_Login","","","test_login[3.0-incorrect password-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":""123409""}-{""status"":""fail"",""errorCode"":1,""msg"":""Incorrect password or non-exist userName""}]",""
"failed","Mon Apr 06 12:47:34 CST 2020","Mon Apr 06 12:47:36 CST 2020","2025","case","test_Reg","TestRegister","","","test[1.0-success to register-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":""Kelly Ren"",""password"":""123456""}-{""status"":""success"",""errorCode"":0,""msg"":""Succeed to register""}]",""
"passed","Mon Apr 06 12:47:40 CST 2020","Mon Apr 06 12:47:42 CST 2020","2011","case","test_Reg","TestRegister","","","test[4.0-password=""""-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":""""}-{""status"":""fail"",""errorCode"":3,""msg"":""Password missing""}]",""
"passed","Mon Apr 06 12:47:36 CST 2020","Mon Apr 06 12:47:38 CST 2020","2027","case","test_Reg","TestRegister","","","test[2.0-user exist-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":""123456""}-{""status"":""fail"",""errorCode"":1,""msg"":""User exist""}]",""
"passed","Mon Apr 06 12:47:53 CST 2020","Mon Apr 06 12:47:55 CST 2020","2013","case","test_Reg","TestRegister","","","test[10.0-length of password exceeds-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":""12343243243243ssss56""}-{""status"":""fail"",""errorCode"":5,""msg"":""Length of password exceeds""}]",""
